


Plate Number,Country,State,Plate Type,Year,Make,Model,Start Date/Time,End Date/Time,Is a Rental Vehicle,Vehicle Type,Delete
AFJ0034,USA,ND,PASSENGER,2024,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0035,USA,OH,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0036,USA,OK,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0037,USA,OR,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0038,USA,PA,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0039,USA,RI,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0040,USA,SC,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0041,USA,SD,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0042,USA,TN,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0043,USA,TX,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0044,USA,UT,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0045,USA,VT,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0046,USA,VA,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0047,USA,WA,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0048,USA,WV,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0049,USA,WI,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0050,USA,WY,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0051,USA,AL,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0052,USA,AK,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0053,USA,AZ,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0054,USA,AR,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0055,USA,CA,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0056,USA,CO,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0057,USA,CT,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0058,USA,DE,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0059,USA,FL,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0060,USA,GA,PASSENGER,2024,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0061,USA,HI,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0062,USA,ID,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0063,USA,IL,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0064,USA,IN,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0065,USA,IA,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0066,USA,KS,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0067,USA,KY,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0068,USA,LA,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0069,USA,ME,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0070,USA,MD,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0071,USA,MA,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0072,USA,MI,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0073,USA,MN,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0074,USA,MS,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0075,USA,MO,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0076,USA,MT,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0077,USA,NE,PASSENGER,2024,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0078,USA,NV,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0079,USA,NH,PASSENGER,2024,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0080,USA,NJ,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0081,USA,NM,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0082,USA,NY,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0083,USA,NC,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0084,USA,ND,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0085,USA,OH,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0086,USA,OK,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0087,USA,OR,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0088,USA,PA,PASSENGER,2024,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0089,USA,RI,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0090,USA,SC,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0091,USA,SD,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0092,USA,TN,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0093,USA,TX,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0094,USA,UT,PASSENGER,2024,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0095,USA,VT,PASSENGER,2026,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0096,USA,VA,PASSENGER,2024,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0097,USA,WA,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0098,USA,WV,PASSENGER,2025,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0099,USA,WI,PASSENGER,2024,,Other,08/21/2025 08:00 AM,,N,72,N
AFJ0100,USA,WY,PASSENGER,2023,,Other,08/21/2025 08:00 AM,,N,72,N
