


Plate Number,Country,State,Plate Type,Year,Make,Model,Start Date/Time,End Date/Time,Is a Rental Vehicle,Vehicle Type,Delete
AFT0034,USA,ND,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0035,USA,OH,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0036,USA,OK,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0037,USA,OR,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0038,USA,PA,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0039,USA,RI,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0040,USA,SC,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0041,USA,SD,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0042,USA,TN,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0043,USA,TX,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0044,USA,UT,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0045,USA,VT,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0046,USA,VA,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0047,USA,WA,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0048,USA,WV,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0049,USA,WI,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0050,USA,WY,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0051,USA,AL,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0052,USA,AK,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0053,USA,AZ,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0054,USA,AR,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0055,USA,CA,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0056,USA,CO,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0057,USA,CT,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0071,USA,MA,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0077,USA,NE,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0078,USA,NV,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0079,USA,NH,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0080,USA,NJ,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0081,USA,NM,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0082,USA,NY,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0088,USA,PA,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0089,USA,RI,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0090,USA,SC,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0091,USA,SD,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0092,USA,TN,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0093,USA,TX,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0094,USA,UT,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0095,USA,VT,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0096,USA,VA,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0097,USA,WA,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0098,USA,WV,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0099,USA,WI,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0100,USA,WY,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0075,USA,MO,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0076,USA,MT,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0086,USA,OK,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0087,USA,OR,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0016,USA,KS,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0017,USA,KY,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0058,USA,DE,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0059,USA,FL,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0060,USA,GA,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0061,USA,HI,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0062,USA,ID,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0063,USA,IL,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0064,USA,IN,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0065,USA,IA,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0066,USA,KS,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0067,USA,KY,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0068,USA,LA,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0069,USA,ME,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0070,USA,MD,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0072,USA,MI,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0073,USA,MN,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFO0091*,USA,SD,PASSENGER,2024,,Other,,,N,72,Y
AFO0092&,USA,TN,PASSENGER,2023,,Other,,,N,72,Y
AFO0093^,USA,TX,PASSENGER,2024,,Other,,,N,72,Y
AFO0094%,USA,UT,PASSENGER,2026,,Other,,,N,72,Y
AFO0095$,USA,VT,PASSENGER,2024,,Other,,,N,72,Y
AFO0096#,USA,VA,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFO0097@,USA,WA,PASSENGER,2026,,Other,,,N,72,Y
AFO0098!,USA,WV,PASSENGER,2025,,Other,,,N,72,Y
AFO0099`,USA,WI,PASSENGER,2025,,Other,,,N,72,Y
AFO0100~,USA,WY,PASSENGER,2023,,Other,,,N,72,Y
AFP0100,USA,WY,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0001,USA,AL,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0002,USA,AK,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0003,USA,AZ,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0004,USA,AR,PASSENGER,2024,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0005,USA,CA,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0006,USA,CO,PASSENGER,2023,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0007,USA,CT,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0008,USA,DE,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0009,USA,FL,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0010,USA,GA,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0011,USA,HI,PASSENGER,2025,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0012,USA,ID,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
AFT0013,USA,IL,PASSENGER,2026,,Other,08/31/2025 08:00 AM,,N,72,N
