


Plate Number,Country,State,Plate Type,Year,Make,Model,Color,Start Date/Time,End Date/Time,Is a Rental Vehicle,Is a Trailer Plate,delete
AFJ0086,USA,OK,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0087,USA,OR,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0088,USA,PA,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0089,USA,RI,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0090,USA,SC,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0091,USA,SD,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0092,USA,TN,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0093,USA,TX,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0094,USA,UT,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0095,USA,VT,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0096,USA,VA,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0097,USA,WA,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0098,USA,WV,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0099,USA,WI,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0100,USA,WY,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFF0091,USA,SD,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,Y
AFF0092,USA,TN,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,Y
AFF0093,USA,TX,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,Y
AFF0094,USA,UT,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,Y
AFF0095,USA,VT,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,Y
AFF0096,USA,VA,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,Y
AFF0097,USA,WA,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,Y
AFF0098,USA,WV,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,Y
AFF0099,USA,WI,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,Y
AFF0100,USA,WY,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,Y
AFJ0001,USA,AL,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0002,USA,AK,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0003,USA,AZ,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0004,USA,AR,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0005,USA,CA,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0006,USA,CO,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0007,USA,CT,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0008,USA,DE,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0009,USA,FL,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0010,USA,GA,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0011,USA,HI,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0012,USA,ID,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0013,USA,IL,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0014,USA,IN,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0015,USA,IA,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0016,USA,KS,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0017,USA,KY,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0018,USA,LA,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0019,USA,ME,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0020,USA,MD,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0021,USA,MA,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0022,USA,MI,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0023,USA,MN,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0024,USA,MS,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0025,USA,MO,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0026,USA,MT,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0027,USA,NE,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0028,USA,NV,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0029,USA,NH,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0030,USA,NJ,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0031,USA,NM,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0032,USA,NY,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0033,USA,NC,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0034,USA,ND,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0035,USA,OH,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0036,USA,OK,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0037,USA,OR,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0038,USA,PA,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
AFJ0039,USA,RI,STANDARD,,,,,10/05/2025 08:00 AM,,N,N,N
