License Plate State,License Plate Country,License Plate Type,ePermit?,License Plate Number,Vehicle Make,Vehicle Model,Vehicle Year,Vehicle Color,Nickname,Start Date,Start Time,End Date,End Time
WI,US,,,ABC0012,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KY,US,,,ABC0013,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ND,US,,,ABC0013,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MN,US,,,ABC0014,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NC,US,,,ABC0014,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IN,US,,,ABC0015,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ND,US,,,ABC0015,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MS,US,,,ABC0016,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OK,US,,,ABC0016,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ND,US,,,ABC0017,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NH,US,,,ABC0017,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AZ,US,,,ABC0018,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IL,US,,,ABC0018,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
HI,US,,,ABC0019,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MO,US,,,ABC0019,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KS,US,,,ABC0020,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OR,US,,,ABC0020,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AK,US,,,ABC0021,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OK,US,,,ABC0021,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CO,US,,,ABC0022,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WV,US,,,ABC0022,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IL,US,,,ABC0023,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KY,US,,,ABC0023,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MD,US,,,ABC0024,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABC0024,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MT,US,,,ABC0025,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABC0025,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CA,US,,,ABC0026,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NM,US,,,ABC0026,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NE,US,,,ABC0027,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VA,US,,,ABC0027,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABC0028,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TN,US,,,ABC0028,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NY,US,,,ABC0029,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
RI,US,,,ABC0029,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ID,US,,,ABC0030,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
RI,US,,,ABC0030,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TX,US,,,ABC0031,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WA,US,,,ABC0031,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AL,US,,,ABC0032,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NH,US,,,ABC0032,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IN,US,,,ABC0033,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WV,US,,,ABC0033,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ID,US,,,ABC0034,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OR,US,,,ABC0034,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ID,US,,,ABC0035,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NY,US,,,ABC0035,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MT,US,,,ABC0036,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OR,US,,,ABC0036,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CA,US,,,ABC0037,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OH,US,,,ABC0037,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KY,US,,,ABC0038,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VT,US,,,ABC0038,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NJ,US,,,ABC0039,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SC,US,,,ABC0039,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KS,US,,,ABC0040,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OH,US,,,ABC0040,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NE,US,,,ABC0041,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IA,US,,,ABC0042,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
GA,US,,,ABC0043,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
HI,US,,,ABC0044,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MS,US,,,ABC0045,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
RI,US,,,ABC0046,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CA,US,,,ABC0047,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MS,US,,,ABC0048,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NE,US,,,ABC0049,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NM,US,,,ABC0050,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NY,US,,,ABC0051,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WV,US,,,ABC0052,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
FL,US,,,ABC0053,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WI,US,,,ABC0054,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SD,US,,,ABC0055,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABC0056,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VT,US,,,ABC0057,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SC,US,,,ABC0058,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NH,US,,,ABC0059,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NY,US,,,ABC0060,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VT,US,,,ABC0061,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AZ,US,,,ABC0062,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OK,US,,,ABC0063,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WA,US,,,ABC0064,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VT,US,,,ABC0065,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IA,US,,,ABC0066,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OH,US,,,ABC0067,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
HI,US,,,ABC0068,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AR,US,,,ABC0069,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
PA,US,,,ABC0070,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NH,US,,,ABC0071,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MT,US,,,ABC0072,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OR,US,,,ABC0073,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TN,US,,,ABC0074,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MA,US,,,ABC0075,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AR,US,,,ABC0076,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MO,US,,,ABC0077,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OR,US,,,ABC0078,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NJ,US,,,ABC0079,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MI,US,,,ABC0080,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AK,US,,,ABC0081,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MO,US,,,ABC0082,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MI,US,,,ABC0083,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AR,US,,,ABC0084,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TN,US,,,ABC0085,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CT,US,,,ABC0086,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MO,US,,,ABC0087,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABC0088,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SC,US,,,ABC0089,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MS,US,,,ABC0090,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
LA,US,,,ABC0091,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WY,US,,,ABC0092,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MO,US,,,ABC0093,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TN,US,,,ABC0094,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WI,US,,,ABC0095,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KY,US,,,ABC0096,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SC,US,,,ABC0097,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VA,US,,,ABC0098,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OR,US,,,ABC0099,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NH,US,,,ABC0100,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MA,US,,,ABC0101,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WY,US,,,ABC0102,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VA,US,,,ABC0103,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TX,US,,,ABC0104,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MA,US,,,ABC0105,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CA,US,,,ABC0106,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CO,US,,,ABC0107,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AK,US,,,ABC0108,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
DE,US,,,ABC0109,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AK,US,,,ABC0110,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TX,US,,,ABC0111,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
LA,US,,,ABC0112,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WI,US,,,ABC0113,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IA,US,,,ABC0114,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NJ,US,,,ABC0115,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AK,US,,,ABC0116,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MD,US,,,ABC0117,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WY,US,,,ABC0118,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AR,US,,,ABC0119,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
PA,US,,,ABC0120,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
GA,US,,,ABC0121,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
FL,US,,,ABC0122,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ID,US,,,ABC0123,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
FL,US,,,ABC0124,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
GA,US,,,ABC0125,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MT,US,,,ABC0126,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NJ,US,,,ABC0127,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NH,US,,,ABC0128,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SD,US,,,ABC0129,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IN,US,,,ABC0130,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NM,US,,,ABC0131,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OH,US,,,ABC0132,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABC0133,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
FL,US,,,ABC0134,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
HI,US,,,ABC0135,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
UT,US,,,ABC0136,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TN,US,,,ABC0137,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
RI,US,,,ABC0138,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
UT,US,,,ABC0139,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IL,US,,,ABC0140,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OH,US,,,ABC0141,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABC0142,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ID,US,,,ABC0143,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABC0144,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NJ,US,,,ABC0145,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABC0146,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CO,US,,,ABC0147,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IL,US,,,ABC0148,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NM,US,,,ABC0149,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NJ,US,,,ABC0150,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AZ,US,,,ABC0151,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NE,US,,,ABC0152,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MN,US,,,ABC0153,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SD,US,,,ABC0154,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OH,US,,,ABC0155,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IA,US,,,ABC0156,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KY,US,,,ABC0157,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MA,US,,,ABC0158,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AZ,US,,,ABC0159,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IL,US,,,ABC0160,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WV,US,,,ABC0161,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
FL,US,,,ABC0162,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AR,US,,,ABC0163,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
UT,US,,,ABC0164,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WV,US,,,ABC0165,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MO,US,,,ABC0166,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IN,US,,,ABC0167,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WY,US,,,ABC0168,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OH,US,,,ABC0169,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
RI,US,,,ABC0170,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
HI,US,,,ABC0171,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
FL,US,,,ABC0172,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ND,US,,,ABC0173,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ME,US,,,ABC0174,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
LA,US,,,ABC0175,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MD,US,,,ABC0176,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AK,US,,,ABC0177,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MA,US,,,ABC0178,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NJ,US,,,ABC0179,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IN,US,,,ABC0180,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AZ,US,,,ABC0181,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MI,US,,,ABC0182,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CA,US,,,ABC0183,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WI,US,,,ABC0184,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MI,US,,,ABC0185,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NE,US,,,ABC0186,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AZ,US,,,ABC0187,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MT,US,,,ABC0188,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NE,US,,,ABC0189,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ND,US,,,ABC0190,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABC0191,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
HI,US,,,ABC0192,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
RI,US,,,ABC0193,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NY,US,,,ABC0194,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NC,US,,,ABC0195,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OH,US,,,ABC0196,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IL,US,,,ABC0197,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
FL,US,,,ABC0198,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MO,US,,,ABC0199,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AK,US,,,ABC0200,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MN,US,,,ABC0201,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IA,US,,,ABC0202,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AZ,US,,,ABC0203,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
RI,US,,,ABC0204,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AZ,US,,,ABC0205,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WI,US,,,ABC0206,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MO,US,,,ABC0207,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OH,US,,,ABC0208,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABC0209,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MA,US,,,ABC0210,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AR,US,,,ABC0211,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MD,US,,,ABC0212,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IA,US,,,ABC0213,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OK,US,,,ABC0214,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MN,US,,,ABC0215,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TN,US,,,ABC0216,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
GA,US,,,ABC0217,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NH,US,,,ABC0218,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NJ,US,,,ABC0219,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MT,US,,,ABC0220,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABC0221,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
GA,US,,,ABC0222,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
GA,US,,,ABC0223,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
GA,US,,,ABC0224,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
FL,US,,,ABC0225,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VT,US,,,ABC0226,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AR,US,,,ABC0227,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TX,US,,,ABC0228,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SC,US,,,ABC0229,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABC0230,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NM,US,,,ABC0231,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VT,US,,,ABC0232,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KS,US,,,ABC0233,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WI,US,,,ABC0234,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WV,US,,,ABC0235,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SD,US,,,ABC0236,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
DE,US,,,ABC0237,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AK,US,,,ABC0238,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NJ,US,,,ABC0239,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
HI,US,,,ABC0240,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MO,US,,,ABC0241,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OK,US,,,ABC0242,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABC0243,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IL,US,,,ABC0244,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CA,US,,,ABC0245,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VA,US,,,ABC0246,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NE,US,,,ABC0247,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
