Lane Txn ID,Tag/Plate #,Posted Date,Agency,Entry Plaza,Exit Plaza,Class,Date,Time,Amount,Post Txn Balance
1299,AFF0025-MO,20250929,E-ZPass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1300,AFF0024-MS,20250929,E-ZPass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1301,AFF0023-MN,20250929,EZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1302,AFF0022-MI,20250929,E-ZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1303,AFF0021-MA,20250929,EZ Pass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1304,AFF0020-MD,20250929,EZ Pass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1305,AFF0019-ME,20250929,EZ Pass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1306,AFF0018-LA,20250929,E-ZPass New York,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1307,AFF0017-KY,20250929,EZ Pass NY,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1308,AFF0016-KS,20250929,E-ZPass New York,George Washington Bridge,Outerbridge Crossing,,20251001,120513,14.06,1
1309,AFF0015-IA,20250929,EZ Pass NY,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1310,AFF0014-IN,20250929,E-ZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
1311,AFF0013-IL,20250929,E-ZPass New York,Holland Tunnel Plaza,Lincoln Tunnel Plaza,,20251001,120513,16.06,1
