Lane Txn ID,Tag/Plate #,Posted Date,Agency,Entry Plaza,Exit Plaza,Class,Date,Time,Amount,Post Txn Balance
12140,AEZ0001-AL,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12141,AEZ0002-AK,20250923,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250924,174439,18.72,1
12142,AEZ0003-AZ,20250923,E-ZPass NY,George Washington Bridge,Outerbridge,,20250924,174439,14.06,1
12143,AEZ0004-AR,20250923,E-ZPass NY,George Washington Bridge,Outerbridge,,20250924,174439,14.06,1
12144,AEZ0005-CA,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12145,AEZ0006-CO,20250923,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250924,174439,18.72,1
12146,AEZ0007-CT,20250923,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250924,174439,18.72,1
12147,AEZ0008-DE,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12148,AEZ0009-FL,20250923,E-ZPass NY,George Washington Bridge,Outerbridge,,20250924,174439,14.06,1
12149,AEZ0010-GA,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12150,AEZ0011-HI,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12151,AEZ0012-ID,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12152,AEZ0013-IL,20250923,E-ZPass NY,George Washington Bridge,Outerbridge,,20250924,174439,14.06,1
12153,AEZ0014-IN,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12154,AEZ0015-IA,20250923,E-ZPass NY,George Washington Bridge,Outerbridge,,20250924,174439,14.06,1
12155,AEZ0016-KS,20250923,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250924,174439,18.72,1
12156,AEZ0017-KY,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12157,AEZ0018-LA,20250923,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250924,174439,18.72,1
12158,AEZ0019-ME,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12159,AEZ0020-MD,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12160,AEZ0021-MA,20250923,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250924,174439,18.72,1
12161,AEZ0022-MI,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12162,AEZ0023-MN,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12163,AEZ0024-MS,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12164,AEZ0025-MO,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12165,AEZ0026-MT,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12166,AEZ0027-NE,20250923,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250924,174439,18.72,1
12167,AEZ0028-NV,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12168,AEZ0029-NH,20250923,E-ZPass NY,George Washington Bridge,Outerbridge,,20250924,174439,14.06,1
12169,AEZ0030-NJ,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12170,AEZ0031-NM,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12171,AEZ0032-NY,20250923,E-ZPass NY,George Washington Bridge,Outerbridge,,20250924,174439,14.06,1
12172,AEZ0033-NC,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12173,AEZ0034-ND,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12174,AEZ0035-OH,20250923,E-ZPass NY,George Washington Bridge,Outerbridge,,20250924,174439,14.06,1
12175,AEZ0036-OK,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12176,AEZ0037-OR,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12177,AEZ0038-PA,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12178,AEZ0039-RI,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12179,AEZ0040-SC,20250923,E-ZPass NY,George Washington Bridge,Outerbridge,,20250924,174439,14.06,1
12180,AEZ0041-SD,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12181,AEZ0042-TN,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12182,AEZ0043-TX,20250923,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250924,174439,18.72,1
12183,AEZ0044-UT,20250923,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250924,174439,18.72,1
12184,AEZ0045-VT,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12185,AEZ0046-VA,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12186,AEZ0047-WA,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12187,AEZ0048-WV,20250923,E-ZPass NY,George Washington Bridge,Outerbridge,,20250924,174439,14.06,1
12188,AEZ0049-WI,20250923,E-ZPass NY,George Washington Bridge,Outerbridge,,20250924,174439,14.06,1
12189,AEZ0050-WY,20250923,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250924,174439,18.72,1
12190,AEZ0051-AL,20250923,E-ZPass NY,George Washington Bridge,Outerbridge,,20250924,174439,14.06,1
12191,AEZ0052-AK,20250923,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250924,174439,18.72,1
12192,AEZ0053-AZ,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12193,AEZ0054-AR,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12194,AEZ0055-CA,20250923,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250924,174439,18.72,1
12195,AEZ0056-CO,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12196,AEZ0057-CT,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12197,AEZ0058-DE,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12198,AEZ0059-FL,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12199,AEZ0060-GA,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12200,AEZ0061-HI,20250923,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250924,174439,18.72,1
12201,AEZ0062-ID,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12202,AEZ0063-IL,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12203,AEZ0064-IN,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12204,AEZ0065-IA,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12205,AEZ0066-KS,20250923,E-ZPass NY,George Washington Bridge,Outerbridge,,20250924,174439,14.06,1
12206,AEZ0067-KY,20250923,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250924,174439,18.72,1
12207,AEZ0068-LA,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12208,AEZ0069-ME,20250923,E-ZPass NY,George Washington Bridge,Outerbridge,,20250924,174439,14.06,1
12209,AEZ0070-MD,20250923,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250924,174439,18.72,1
12210,AEZ0071-MA,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12211,AEZ0072-MI,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12212,AEZ0073-MN,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12213,AEZ0074-MS,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12214,AEZ0075-MO,20250923,E-ZPass NY,George Washington Bridge,Outerbridge,,20250924,174439,14.06,1
12215,AEZ0076-MT,20250923,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250924,174439,18.72,1
12216,AEZ0077-NE,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12217,AEZ0078-NV,20250923,E-ZPass NY,Holland Tunnel,Lincoln Tunnel,,20250924,174439,16.06,1
12218,AEZ0079-NH,20250923,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250924,174439,18.72,1
12219,AEZ0080-NJ,20250923,E-ZPass NY,Holland Tunnel,George Washington Bridge,,20250924,174439,18.06,1
12220,AEZ0081-NM,20250923,E-ZPass NY,Lincoln Tunnel,George Washington Bridge,,20250924,174439,18.72,1
