Posted Date,Type,Trip date,Description,Plate / Pass,Amount,Balance
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 05:56,SR 520 Bridge - Lane 01,AFF0073 MN,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 17:35,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0072 MI,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 02:55,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0071 MA,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 10:14,SR 99 Tunnel - Lane 02,AFF0070 MD,2.8,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 23:12,SR 99 Tunnel - Lane 02,AFF0069 ME,2.8,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 15:35,SR 520 Bridge - Lane 01,AFF0068 LA,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 23:20,SR 520 Bridge - Lane 01,AFF0067 KY,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 11:33,SR 520 Bridge - Lane 01,AFF0066 KS,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 20:55,SR 520 Bridge - Lane 01,AFF0065 IA,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 09:10,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0064 IN,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 04:32,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0063 IL,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 18:24,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0062 ID,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 16:13,SR 520 Bridge - Lane 01,AFF0061 HI,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 16:49,SR 99 Tunnel - Lane 02,AFF0059 FL,2.8,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 05:42,SR 520 Bridge - Lane 01,AFF0058 DE,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 20:09,SR 520 Bridge - Lane 01,AFF0057 CT,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 10:23,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0056 CO,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 05:52,SR 520 Bridge - Lane 01,AFF0055 CA,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 06:07,SR 99 Tunnel - Lane 02,AFF0054 AR,2.8,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 20:22,SR 520 Bridge - Lane 01,AFF0053 AZ,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 08:31,SR 99 Tunnel - Lane 02,AFF0052 AK,2.8,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 12:03,SR 520 Bridge - Lane 01,AFF0051 AL,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 09:11,SR 520 Bridge - Lane 01,AFF0050 WY,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 01:07,SR 520 Bridge - Lane 01,AFF0049 WI,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 04:54,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0048 WV,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 11:02,SR 520 Bridge - Lane 01,AFF0047 WA,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 11:46,SR 99 Tunnel - Lane 02,AFF0046 VA,2.8,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 07:34,SR 99 Tunnel - Lane 02,AFF0045 VT,2.8,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 05:29,SR 99 Tunnel - Lane 02,AFF0044 UT,2.8,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 20:22,SR 520 Bridge - Lane 01,AFF0043 TX,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 14:25,SR 520 Bridge - Lane 01,AFF0042 TN,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 19:40,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0041 SD,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 05:14,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0040 SC,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 15:08,SR 99 Tunnel - Lane 02,AFF0039 RI,2.8,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 19:49,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0038 PA,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 17:20,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0037 OR,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 00:17,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0036 OK,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 23:18,SR 99 Tunnel - Lane 02,AFF0035 OH,2.8,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 00:23,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0034 ND,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 05:26,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0033 NC,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 00:13,SR 520 Bridge - Lane 01,AFF0032 NY,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 20:39,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0031 NM,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 00:51,SR 520 Bridge - Lane 01,AFF0030 NJ,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 23:05,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0029 NH,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 20:04,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0028 NV,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 21:29,SR 520 Bridge - Lane 01,AFF0027 NE,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 11:57,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0026 MT,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 20:40,SR 99 Tunnel - Lane 02,AFF0025 MO,2.8,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 07:50,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0024 MS,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 18:12,SR 99 Tunnel - Lane 02,AFF0023 MN,2.8,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 22:03,SR 520 Bridge - Lane 01,AFF0022 MI,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 12:01,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0021 MA,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 15:33,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0020 MD,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 09:08,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0019 ME,4.5,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 06:50,SR 520 Bridge - Lane 01,AFF0018 LA,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 08:33,SR 520 Bridge - Lane 01,AFF0017 KY,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 13:29,SR 520 Bridge - Lane 01,AFF0016 KS,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 00:39,SR 99 Tunnel - Lane 02,AFF0015 IA,2.8,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 04:47,SR 520 Bridge - Lane 01,AFF0014 IN,4.9,
09/29/2025,Toll - Good to Go! - Reversal,10/01/2025 14:06,SR 16 Tacoma Narrows Bridge - Lane 03,AFF0013 IL,4.5,
